sl_no;gender;ssc_p;hsc_p;hsc_s;degree_p;degree_t;workex;etest_p;specialisation;mba_p;salary
1;M;67.00;91.00;Commerce;58.00;Sci&Tech;No;55;Mkt&HR;58.8;270000
2;M;79.33;78.33;Science;77.48;Sci&Tech;Yes;86.5;Mkt&Fin;66.28;200000
3;M;65.00;68.00;Arts;64.00;Comm&Mgmt;No;75;Mkt&Fin;57.8;250000
4;M;56.00;52.00;Science;52.00;Sci&Tech;No;66;Mkt&HR;59.43;
5;M;85.80;73.60;Commerce;73.30;Comm&Mgmt;No;96.8;Mkt&Fin;55.5;425000
6;M;55.00;49.80;Science;67.25;Sci&Tech;Yes;55;Mkt&Fin;51.58;
7;F;46.00;49.20;Commerce;79.00;Comm&Mgmt;No;74.28;Mkt&Fin;53.29;
8;M;82.00;64.00;Science;66.00;Sci&Tech;Yes;67;Mkt&Fin;62.14;252000
9;M;73.00;79.00;Commerce;72.00;Comm&Mgmt;No;91.34;Mkt&Fin;61.29;231000
10;M;58.00;70.00;Commerce;61.00;Comm&Mgmt;No;54;Mkt&Fin;52.21;
11;M;58.00;61.00;Commerce;60.00;Comm&Mgmt;Yes;62;Mkt&HR;60.85;260000
12;M;69.60;68.40;Commerce;78.30;Comm&Mgmt;Yes;60;Mkt&Fin;63.7;250000
13;F;47.00;55.00;Science;65.00;Comm&Mgmt;No;62;Mkt&HR;65.04;
14;F;77.00;87.00;Commerce;59.00;Comm&Mgmt;No;68;Mkt&Fin;68.63;218000
15;M;62.00;47.00;Commerce;50.00;Comm&Mgmt;No;76;Mkt&HR;54.96;
16;F;65.00;75.00;Commerce;69.00;Comm&Mgmt;Yes;72;Mkt&Fin;64.66;200000
17;M;63.00;66.20;Commerce;65.60;Comm&Mgmt;Yes;60;Mkt&Fin;62.54;300000
18;F;55.00;67.00;Commerce;64.00;Comm&Mgmt;No;60;Mkt&Fin;67.28;
19;F;63.00;66.00;Commerce;64.00;Comm&Mgmt;No;68;Mkt&HR;64.08;
20;M;60.00;67.00;Arts;70.00;Comm&Mgmt;Yes;50.48;Mkt&Fin;77.89;236000
21;M;62.00;65.00;Commerce;66.00;Comm&Mgmt;No;50;Mkt&HR;56.7;265000
22;F;79.00;76.00;Commerce;85.00;Comm&Mgmt;No;95;Mkt&Fin;69.06;393000
23;F;69.80;60.80;Science;72.23;Sci&Tech;No;55.53;Mkt&HR;68.81;360000
24;F;77.40;60.00;Science;64.74;Sci&Tech;Yes;92;Mkt&Fin;63.62;300000
25;M;76.50;97.70;Science;78.86;Sci&Tech;No;97.4;Mkt&Fin;74.01;360000
26;F;52.58;54.60;Commerce;50.20;Comm&Mgmt;Yes;76;Mkt&Fin;65.33;
27;M;71.00;79.00;Commerce;66.00;Comm&Mgmt;Yes;94;Mkt&Fin;57.55;240000
28;M;63.00;67.00;Commerce;66.00;Comm&Mgmt;No;68;Mkt&HR;57.69;265000
29;M;76.76;76.50;Commerce;67.50;Comm&Mgmt;Yes;73.35;Mkt&Fin;64.15;350000
30;M;62.00;67.00;Commerce;58.00;Comm&Mgmt;No;77;Mkt&Fin;51.29;
31;F;64.00;73.50;Commerce;73.00;Comm&Mgmt;No;52;Mkt&HR;56.7;250000
32;F;67.00;53.00;Science;65.00;Sci&Tech;No;64;Mkt&HR;58.32;
33;F;61.00;81.00;Commerce;66.40;Comm&Mgmt;No;50.89;Mkt&HR;62.21;278000
34;F;87.00;65.00;Science;81.00;Comm&Mgmt;Yes;88;Mkt&Fin;72.78;260000
35;M;62.00;51.00;Science;52.00;Others;No;68.44;Mkt&HR;62.77;
36;F;69.00;78.00;Commerce;72.00;Comm&Mgmt;No;71;Mkt&HR;62.74;300000
37;M;51.00;44.00;Commerce;57.00;Comm&Mgmt;No;64;Mkt&Fin;51.45;
38;F;79.00;76.00;Science;65.60;Sci&Tech;No;58;Mkt&HR;55.47;320000
39;F;73.00;58.00;Science;66.00;Comm&Mgmt;No;53.7;Mkt&HR;56.86;240000
40;M;81.00;68.00;Science;64.00;Sci&Tech;No;93;Mkt&Fin;62.56;411000
41;F;78.00;77.00;Commerce;80.00;Comm&Mgmt;No;60;Mkt&Fin;66.72;287000
42;F;74.00;63.16;Commerce;65.00;Comm&Mgmt;Yes;65;Mkt&HR;69.76;
43;M;49.00;39.00;Science;65.00;Others;No;63;Mkt&Fin;51.21;
44;M;87.00;87.00;Commerce;68.00;Comm&Mgmt;No;95;Mkt&HR;62.9;300000
45;F;77.00;73.00;Commerce;81.00;Comm&Mgmt;Yes;89;Mkt&Fin;69.7;200000
46;F;76.00;64.00;Science;72.00;Sci&Tech;No;58;Mkt&HR;66.53;
47;F;70.89;71.98;Science;65.60;Comm&Mgmt;No;68;Mkt&HR;71.63;
48;M;63.00;60.00;Commerce;57.00;Comm&Mgmt;Yes;78;Mkt&Fin;54.55;204000
49;M;63.00;62.00;Commerce;68.00;Comm&Mgmt;No;64;Mkt&Fin;62.46;250000
50;F;50.00;37.00;Arts;52.00;Others;No;65;Mkt&HR;56.11;
51;F;75.20;73.20;Science;68.40;Comm&Mgmt;No;65;Mkt&HR;62.98;200000
52;M;54.40;61.12;Commerce;56.20;Comm&Mgmt;No;67;Mkt&HR;62.65;
53;F;40.89;45.83;Commerce;53.00;Comm&Mgmt;No;71.2;Mkt&HR;65.49;
54;M;80.00;70.00;Science;72.00;Sci&Tech;No;87;Mkt&HR;71.04;450000
55;F;74.00;60.00;Science;69.00;Comm&Mgmt;No;78;Mkt&HR;65.56;216000
56;M;60.40;66.60;Science;65.00;Comm&Mgmt;No;71;Mkt&HR;52.71;220000
57;M;63.00;71.40;Commerce;61.40;Comm&Mgmt;No;68;Mkt&Fin;66.88;240000
58;M;68.00;76.00;Commerce;74.00;Comm&Mgmt;No;80;Mkt&Fin;63.59;360000
59;M;74.00;62.00;Science;68.00;Comm&Mgmt;No;74;Mkt&Fin;57.99;268000
60;M;52.60;65.58;Science;72.11;Sci&Tech;No;57.6;Mkt&Fin;56.66;265000
61;M;74.00;70.00;Science;72.00;Comm&Mgmt;Yes;60;Mkt&Fin;57.24;260000
62;M;84.20;73.40;Commerce;66.89;Comm&Mgmt;No;61.6;Mkt&Fin;62.48;300000
63;F;86.50;64.20;Science;67.40;Sci&Tech;No;59;Mkt&Fin;59.69;240000
64;M;61.00;70.00;Commerce;64.00;Comm&Mgmt;No;68.5;Mkt&HR;59.5;
65;M;80.00;73.00;Commerce;75.00;Comm&Mgmt;No;61;Mkt&Fin;58.78;240000
66;M;54.00;47.00;Science;57.00;Comm&Mgmt;No;89.69;Mkt&HR;57.1;
67;M;83.00;74.00;Science;66.00;Comm&Mgmt;No;68.92;Mkt&HR;58.46;275000
68;M;80.92;78.50;Commerce;67.00;Comm&Mgmt;No;68.71;Mkt&Fin;60.99;275000
69;F;69.70;47.00;Commerce;72.70;Sci&Tech;No;79;Mkt&HR;59.24;
70;M;73.00;73.00;Science;66.00;Sci&Tech;Yes;70;Mkt&Fin;68.07;275000
71;M;82.00;61.00;Science;62.00;Sci&Tech;No;89;Mkt&Fin;65.45;360000
72;M;75.00;70.29;Commerce;71.00;Comm&Mgmt;No;95;Mkt&Fin;66.94;240000
73;M;84.86;67.00;Science;78.00;Comm&Mgmt;No;95.5;Mkt&Fin;68.53;240000
74;M;64.60;83.83;Commerce;71.72;Comm&Mgmt;No;86;Mkt&Fin;59.75;218000
75;M;56.60;64.80;Commerce;70.20;Comm&Mgmt;No;84.27;Mkt&Fin;67.2;336000
76;F;59.00;62.00;Commerce;77.50;Comm&Mgmt;No;74;Mkt&HR;67;
77;F;66.50;70.40;Arts;71.93;Comm&Mgmt;No;61;Mkt&Fin;64.27;230000
78;M;64.00;80.00;Science;65.00;Sci&Tech;Yes;69;Mkt&Fin;57.65;500000
79;M;84.00;90.90;Science;64.50;Sci&Tech;No;86.04;Mkt&Fin;59.42;270000
80;F;69.00;62.00;Science;66.00;Sci&Tech;No;75;Mkt&HR;67.99;
81;F;69.00;62.00;Commerce;69.00;Comm&Mgmt;Yes;67;Mkt&HR;62.35;240000
82;M;81.70;63.00;Science;67.00;Comm&Mgmt;Yes;86;Mkt&Fin;70.2;300000
83;M;63.00;67.00;Commerce;74.00;Comm&Mgmt;No;82;Mkt&Fin;60.44;
84;M;84.00;79.00;Science;68.00;Sci&Tech;Yes;84;Mkt&Fin;66.69;300000
85;M;70.00;63.00;Science;70.00;Sci&Tech;Yes;55;Mkt&Fin;62;300000
86;F;83.84;89.83;Commerce;77.20;Comm&Mgmt;Yes;78.74;Mkt&Fin;76.18;400000
87;M;62.00;63.00;Commerce;64.00;Comm&Mgmt;No;67;Mkt&Fin;57.03;220000
88;M;59.60;51.00;Science;60.00;Others;No;75;Mkt&HR;59.08;
89;F;66.00;62.00;Commerce;73.00;Comm&Mgmt;No;58;Mkt&HR;64.36;210000
90;F;84.00;75.00;Science;69.00;Sci&Tech;Yes;62;Mkt&HR;62.36;210000
91;F;85.00;90.00;Commerce;82.00;Comm&Mgmt;No;92;Mkt&Fin;68.03;300000
92;M;52.00;57.00;Commerce;50.80;Comm&Mgmt;No;67;Mkt&HR;62.79;
93;F;60.23;69.00;Science;66.00;Comm&Mgmt;No;72;Mkt&Fin;59.47;230000
94;M;52.00;62.00;Commerce;54.00;Comm&Mgmt;No;72;Mkt&HR;55.41;
95;M;58.00;62.00;Commerce;64.00;Comm&Mgmt;No;53.88;Mkt&Fin;54.97;260000
96;M;73.00;78.00;Commerce;65.00;Comm&Mgmt;Yes;95.46;Mkt&Fin;62.16;420000
97;F;76.00;70.00;Science;76.00;Comm&Mgmt;Yes;66;Mkt&Fin;64.44;300000
98;F;70.50;62.50;Commerce;61.00;Comm&Mgmt;No;93.91;Mkt&Fin;69.03;
99;F;69.00;73.00;Commerce;65.00;Comm&Mgmt;No;70;Mkt&Fin;57.31;220000
100;M;54.00;82.00;Commerce;63.00;Sci&Tech;No;50;Mkt&Fin;59.47;
101;F;45.00;57.00;Commerce;58.00;Comm&Mgmt;Yes;56.39;Mkt&HR;64.95;
102;M;63.00;72.00;Commerce;68.00;Comm&Mgmt;No;78;Mkt&HR;60.44;380000
103;F;77.00;61.00;Commerce;68.00;Comm&Mgmt;Yes;57.5;Mkt&Fin;61.31;300000
104;M;73.00;78.00;Science;73.00;Sci&Tech;Yes;85;Mkt&HR;65.83;240000
105;M;69.00;63.00;Science;65.00;Comm&Mgmt;Yes;55;Mkt&HR;58.23;360000
106;M;59.00;64.00;Science;58.00;Sci&Tech;No;85;Mkt&HR;55.3;
107;M;61.08;50.00;Science;54.00;Sci&Tech;No;71;Mkt&Fin;65.69;
108;M;82.00;90.00;Commerce;83.00;Comm&Mgmt;No;80;Mkt&HR;73.52;200000
109;M;61.00;82.00;Commerce;69.00;Comm&Mgmt;No;84;Mkt&Fin;58.31;300000
110;M;52.00;63.00;Science;65.00;Sci&Tech;Yes;86;Mkt&HR;56.09;
111;F;69.50;70.00;Science;72.00;Sci&Tech;No;57.2;Mkt&HR;54.8;250000
112;M;51.00;54.00;Science;61.00;Sci&Tech;No;60;Mkt&HR;60.64;
113;M;58.00;61.00;Commerce;61.00;Comm&Mgmt;No;58;Mkt&HR;53.94;250000
114;F;73.96;79.00;Commerce;67.00;Comm&Mgmt;No;72.15;Mkt&Fin;63.08;280000
115;M;65.00;68.00;Science;69.00;Comm&Mgmt;No;53.7;Mkt&HR;55.01;250000
116;F;73.00;63.00;Science;66.00;Comm&Mgmt;No;89;Mkt&Fin;60.5;216000
117;M;68.20;72.80;Commerce;66.60;Comm&Mgmt;Yes;96;Mkt&Fin;70.85;300000
118;M;77.00;75.00;Science;73.00;Sci&Tech;No;80;Mkt&Fin;67.05;240000
119;M;76.00;80.00;Science;78.00;Sci&Tech;Yes;97;Mkt&HR;70.48;276000
120;M;60.80;68.40;Commerce;64.60;Comm&Mgmt;Yes;82.66;Mkt&Fin;64.34;940000
121;M;58.00;40.00;Science;59.00;Comm&Mgmt;No;73;Mkt&HR;58.81;
122;F;64.00;67.00;Science;69.60;Sci&Tech;Yes;55.67;Mkt&HR;71.49;250000
123;F;66.50;66.80;Arts;69.30;Comm&Mgmt;Yes;80.4;Mkt&Fin;71;236000
124;M;74.00;59.00;Commerce;73.00;Comm&Mgmt;Yes;60;Mkt&HR;56.7;240000
125;M;67.00;71.00;Science;64.33;Others;Yes;64;Mkt&HR;61.26;250000
126;F;84.00;73.00;Commerce;73.00;Comm&Mgmt;No;75;Mkt&Fin;73.33;350000
127;F;79.00;61.00;Science;75.50;Sci&Tech;Yes;70;Mkt&Fin;68.2;210000
128;F;72.00;60.00;Science;69.00;Comm&Mgmt;No;55.5;Mkt&HR;58.4;250000
129;M;80.40;73.40;Science;77.72;Sci&Tech;Yes;81.2;Mkt&HR;76.26;400000
130;M;76.70;89.70;Commerce;66.00;Comm&Mgmt;Yes;90;Mkt&Fin;68.55;250000
131;M;62.00;65.00;Commerce;60.00;Comm&Mgmt;No;84;Mkt&Fin;64.15;
132;F;74.90;57.00;Science;62.00;Others;Yes;80;Mkt&Fin;60.78;360000
133;M;67.00;68.00;Commerce;64.00;Comm&Mgmt;Yes;74.4;Mkt&HR;53.49;300000
134;M;73.00;64.00;Commerce;77.00;Comm&Mgmt;Yes;65;Mkt&HR;60.98;250000
135;F;77.44;92.00;Commerce;72.00;Comm&Mgmt;Yes;94;Mkt&Fin;67.13;250000
136;F;72.00;56.00;Science;69.00;Comm&Mgmt;No;55.6;Mkt&HR;65.63;200000
137;F;47.00;59.00;Arts;64.00;Comm&Mgmt;No;78;Mkt&Fin;61.58;
138;M;67.00;63.00;Commerce;72.00;Comm&Mgmt;No;56;Mkt&HR;60.41;225000
139;F;82.00;64.00;Science;73.00;Sci&Tech;Yes;96;Mkt&Fin;71.77;250000
140;M;77.00;70.00;Commerce;59.00;Comm&Mgmt;Yes;58;Mkt&Fin;54.43;220000
141;M;65.00;64.80;Commerce;69.50;Comm&Mgmt;Yes;56;Mkt&Fin;56.94;265000
142;M;66.00;64.00;Science;60.00;Comm&Mgmt;No;60;Mkt&HR;61.9;
143;M;85.00;60.00;Science;73.43;Sci&Tech;Yes;60;Mkt&Fin;61.29;260000
144;M;77.67;64.89;Commerce;70.67;Comm&Mgmt;No;89;Mkt&Fin;60.39;300000
145;M;52.00;50.00;Arts;61.00;Comm&Mgmt;No;60;Mkt&Fin;58.52;
146;M;89.40;65.66;Science;71.25;Sci&Tech;No;72;Mkt&HR;63.23;400000
147;M;62.00;63.00;Science;66.00;Comm&Mgmt;No;85;Mkt&HR;55.14;233000
148;M;70.00;74.00;Commerce;65.00;Comm&Mgmt;No;83;Mkt&Fin;62.28;300000
149;F;77.00;86.00;Arts;56.00;Others;No;57;Mkt&Fin;64.08;240000
150;M;44.00;58.00;Arts;55.00;Comm&Mgmt;Yes;64.25;Mkt&HR;58.54;
151;M;71.00;58.66;Science;58.00;Sci&Tech;Yes;56;Mkt&Fin;61.3;690000
152;M;65.00;65.00;Commerce;75.00;Comm&Mgmt;No;83;Mkt&Fin;58.87;270000
153;F;75.40;60.50;Science;84.00;Sci&Tech;No;98;Mkt&Fin;65.25;240000
154;M;49.00;59.00;Science;65.00;Sci&Tech;Yes;86;Mkt&Fin;62.48;340000
155;M;53.00;63.00;Science;60.00;Comm&Mgmt;Yes;70;Mkt&Fin;53.2;250000
156;M;51.57;74.66;Commerce;59.90;Comm&Mgmt;Yes;56.15;Mkt&HR;65.99;
157;M;84.20;69.40;Science;65.00;Sci&Tech;Yes;80;Mkt&HR;52.72;255000
158;M;66.50;62.50;Commerce;60.90;Comm&Mgmt;No;93.4;Mkt&Fin;55.03;300000
159;M;67.00;63.00;Science;64.00;Sci&Tech;No;60;Mkt&Fin;61.87;
160;M;52.00;49.00;Commerce;58.00;Comm&Mgmt;No;62;Mkt&HR;60.59;
161;M;87.00;74.00;Science;65.00;Sci&Tech;Yes;75;Mkt&HR;72.29;300000
162;M;55.60;51.00;Commerce;57.50;Comm&Mgmt;No;57.63;Mkt&HR;62.72;
163;M;74.20;87.60;Commerce;77.25;Comm&Mgmt;Yes;75.2;Mkt&Fin;66.06;285000
164;M;63.00;67.00;Science;64.00;Sci&Tech;No;75;Mkt&Fin;66.46;500000
165;F;67.16;72.50;Commerce;63.35;Comm&Mgmt;No;53.04;Mkt&Fin;65.52;250000
166;F;63.30;78.33;Commerce;74.00;Comm&Mgmt;No;80;Mkt&Fin;74.56;
167;M;62.00;62.00;Commerce;60.00;Comm&Mgmt;Yes;63;Mkt&HR;52.38;240000
168;M;67.90;62.00;Science;67.00;Sci&Tech;Yes;58.1;Mkt&Fin;75.71;
169;F;48.00;51.00;Commerce;58.00;Comm&Mgmt;Yes;60;Mkt&HR;58.79;
170;M;59.96;42.16;Science;61.26;Sci&Tech;No;54.48;Mkt&HR;65.48;
171;F;63.40;67.20;Commerce;60.00;Comm&Mgmt;No;58.06;Mkt&HR;69.28;
172;M;80.00;80.00;Commerce;72.00;Comm&Mgmt;Yes;63.79;Mkt&Fin;66.04;290000
173;M;73.00;58.00;Commerce;56.00;Comm&Mgmt;No;84;Mkt&HR;52.64;300000
174;F;52.00;52.00;Science;55.00;Sci&Tech;No;67;Mkt&HR;59.32;
175;M;73.24;50.83;Science;64.27;Sci&Tech;Yes;64;Mkt&Fin;66.23;500000
176;M;63.00;62.00;Science;65.00;Sci&Tech;No;87.5;Mkt&HR;60.69;
